ID,CODIGO,NOMBRE,MEDIDA,EAN,CATEGORIA,SUBCATEGORIA,TIPO,MARCA,MODELO,ECO,PVP,USU,FOTO,DESCRIP,NOMBRE_ECO,LIBRE,ANCHO,CONST1,PERFIL,CONST2,LLANTA,IC,IV,FR,TTTL
7582,4520012,AVON 3D ULTRA SPORT AV79 120/60ZR17 55W F TL,1206017,0029142734543,01.NEUMATICOS,01.MOTO,01.CARRETERA,AVON,3D ULTRA SPORT AV80,"1,01","151,00","96,76",AVON 3D ULTRA SPORT AV79.jpg,,S.I GESTION NFU - RD 1619/2005,,120,/,60,ZR,17,55,W,F,TL
7583,4520013,AVON 3D ULTRA SPORT AV79 120/70ZR17 58W F TL,1207017,0029142734550,01.NEUMATICOS,01.MOTO,01.CARRETERA,AVON,3D ULTRA SPORT AV80,"1,01","173,00","109,01",AVON 3D ULTRA SPORT AV79.jpg,,S.I GESTION NFU - RD 1619/2005,,120,/,70,ZR,17,58,W,F,TL
7584,4520014,AVON 3D ULTRA SPORT AV79 130/70ZR16 61W F TL,1307016,0029142734567,01.NEUMATICOS,01.MOTO,01.CARRETERA,AVON,3D ULTRA SPORT AV80,"1,01","176,00","110,68",AVON 3D ULTRA SPORT AV79.jpg,,S.I GESTION NFU - RD 1619/2005,,130,/,70,ZR,16,61,W,F,TL
7585,4530011,AVON 3D ULTRA SPORT AV80 150/60ZR17 66W R TL,1506017,0029142734574,01.NEUMATICOS,01.MOTO,01.CARRETERA,AVON,3D ULTRA SPORT AV80,"1,01","207,00","127,93",AVON 3D ULTRA SPORT AV80.JPG,,S.I GESTION NFU - RD 1619/2005,,150,/,60,ZR,17,66,W,R,TL
7586,4530012,AVON 3D ULTRA SPORT AV80 160/60ZR17 69W R TL,1606017,0029142734581,01.NEUMATICOS,01.MOTO,01.CARRETERA,AVON,3D ULTRA SPORT AV80,"1,01","214,00","131,83",AVON 3D ULTRA SPORT AV80.JPG,,S.I GESTION NFU - RD 1619/2005,,160,/,60,ZR,17,69,W,R,TL
7587,4530014,AVON 3D ULTRA SPORT AV80 180/55ZR17 73W R TL,1805517,0029142734598,01.NEUMATICOS,01.MOTO,01.CARRETERA,AVON,3D ULTRA SPORT AV80,"1,01","229,00","140,18",AVON 3D ULTRA SPORT AV80.JPG,,S.I GESTION NFU - RD 1619/2005,,180,/,55,ZR,17,73,W,R,TL
7588,4530015,AVON 3D ULTRA SPORT AV80 190/50ZR17 73W R TL,1905017,0029142734604,01.NEUMATICOS,01.MOTO,01.CARRETERA,AVON,3D ULTRA SPORT AV80,"1,01","246,00","149,64",AVON 3D ULTRA SPORT AV80.JPG,,S.I GESTION NFU - RD 1619/2005,,190,/,50,ZR,17,73,W,R,TL
7589,4530016,AVON 3D ULTRA SPORT AV80 190/55ZR17 75W R TL,1905517,0029142734611,01.NEUMATICOS,01.MOTO,01.CARRETERA,AVON,3D ULTRA SPORT AV80,"1,01","261,00","157,99",AVON 3D ULTRA SPORT AV80.JPG,,S.I GESTION NFU - RD 1619/2005,,190,/,55,ZR,17,75,W,R,TL
7590,4530017,AVON 3D ULTRA SPORT AV80 200/50ZR17 75W R TL,2005017,0029142734628,01.NEUMATICOS,01.MOTO,01.CARRETERA,AVON,3D ULTRA SPORT AV80,"1,01","275,00","165,78",AVON 3D ULTRA SPORT AV80.JPG,,S.I GESTION NFU - RD 1619/2005,,200,/,50,ZR,17,75,W,R,TL
7591,4570011,AVON 3D ULTRA SUPERSPORT AV79 120/60ZR17 55W F TL,1206017,0029142734529,01.NEUMATICOS,01.MOTO,01.CARRETERA,AVON,3D ULTRA SUPERSPORT AV79,"1,01","164,00","104,00",AVON 3D ULTRA SUPERSPORT AV79.JPG,,S.I GESTION NFU - RD 1619/2005,,120,/,60,ZR,17,55,W,F,TL
7592,4570012,AVON 3D ULTRA SUPERSPORT AV79 120/70ZR17 58W F TL,1207017,0029142734536,01.NEUMATICOS,01.MOTO,01.CARRETERA,AVON,3D ULTRA SUPERSPORT AV79,"1,01","182,00","114,02",AVON 3D ULTRA SUPERSPORT AV79.JPG,,S.I GESTION NFU - RD 1619/2005,,120,/,70,ZR,17,58,W,F,TL
7593,4580011,AVON 3D ULTRA SUPERSPORT AV80 160/60ZR17 69W R TL,1606017,0029142734482,01.NEUMATICOS,01.MOTO,01.CARRETERA,AVON,3D ULTRA SUPERSPORT AV80,"1,01","227,00","139,07",AVON 3D ULTRA SUPERSPORT AV80.JPG,,S.I GESTION NFU - RD 1619/2005,,160,/,60,ZR,17,69,W,R,TL
7594,4580012,AVON 3D ULTRA SUPERSPORT AV80 180/55ZR17 73W R TL,1805517,0029142734499,01.NEUMATICOS,01.MOTO,01.CARRETERA,AVON,3D ULTRA SUPERSPORT AV80,"1,01","244,00","148,53",AVON 3D ULTRA SUPERSPORT AV80.JPG,,S.I GESTION NFU - RD 1619/2005,,180,/,55,ZR,17,73,W,R,TL
7595,4580013,AVON 3D ULTRA SUPERSPORT AV80 190/50ZR17 73W R TL,1905017,0029142734505,01.NEUMATICOS,01.MOTO,01.CARRETERA,AVON,3D ULTRA SUPERSPORT AV80,"1,01","250,00","151,87",AVON 3D ULTRA SUPERSPORT AV80.JPG,,S.I GESTION NFU - RD 1619/2005,,190,/,50,ZR,17,73,W,R,TL
